,longitude,latitude,Hour
1088,7.70751,45.07117,1
1089,7.6766,45.06979,1
1090,7.65293,45.02148,1
1091,7.63926,45.03525,1
1092,7.67881,45.08219,1
1093,7.66494,45.07297,1
1094,7.6775,45.06991,1
1095,7.67572,45.06882,1
1096,7.6769,45.06929,1
1097,7.64819,45.06479,1
1098,7.68051,45.03541,1
1099,7.66677,45.07804,1
1100,7.68503,45.05582,1
1101,7.65207,45.02468,1
1102,7.67144,45.07575,1
1103,7.67071,45.07948,1
1104,7.62288,45.06468,1
1105,7.64405,45.07062,1
1106,7.65316,45.06362,1
1107,7.69153,45.09455,1
1108,7.6953,45.06645,1
1109,7.69325,45.07808,1
1110,7.70519,45.07417,1
1111,7.61953,45.08429,1
1112,7.66113,45.05384,1
1113,7.68037,45.07666,1
1114,7.62417,45.07892,1
1115,7.69866,45.07117,1
1116,7.67144,45.07575,1
1117,7.6774,45.0774,1
1118,7.72286,45.07246,1
1119,7.69666,45.06966,1
1120,7.63194,45.05517,1
1121,7.66778,45.06902,2
1122,7.6551,45.06988,2
1123,7.62478,45.04431,2
1124,7.68308,45.06035,2
1125,7.7136,45.06448,2
1126,7.66189,45.05646,2
1127,7.65031,45.07098,2
1128,7.68923,45.07988,2
1129,7.66964,45.05507,2
1130,7.64798,45.06645,2
1131,7.66029,45.04442,2
1132,7.64182,45.05259,2
1133,7.61598,45.08068,2
1134,7.64385,45.04521,2
1135,7.67059,45.10195,2
1136,7.68308,45.06035,2
1137,7.61601,45.07995,2
1138,7.64752,45.04139,2
1139,7.67302,45.03515,2
1140,7.65873,45.05257,2
1141,7.68211,45.08447,2
1142,7.65494,45.0541,2
1143,7.69956,45.0694,2
1144,7.66877,45.08163,2
1145,7.69577,45.08381,3
1146,7.63539,45.04537,3
1147,7.65488,45.05416,3
1148,7.68897,45.09718,3
1149,7.69714,45.06518,3
1150,7.6618,45.08364,3
1151,7.65496,45.0837,3
1152,7.67024,45.04313,3
1153,7.6435,45.18843,4
1154,7.67514,45.07138,4
1155,7.67939,45.06189,4
1156,7.65279,45.08254,4
1157,7.70513,45.07436,4
1158,7.65235,45.04836,4
1159,7.65402,45.05201,5
1160,7.64877,45.05285,5
1161,7.70008,45.10095,5
1162,7.64771,45.04089,5
1163,7.68221,45.0741,5
1164,7.63726,45.04775,5
1165,7.69839,45.07871,5
1166,7.65495,45.06554,5
1167,7.66565,45.06948,5
1168,7.69897,45.06213,5
1169,7.65621,45.11056,5
1170,7.62018,45.02137,5
1171,7.6435,45.18843,5
3777,7.66292,45.04767,0
3778,7.69988,45.10509,0
3779,7.68284,45.06124,0
3780,7.66338,45.07447,0
3781,7.66369,45.05477,0
3782,7.70683,45.07412,0
3783,7.68287,45.06133,0
3784,7.66784,45.08844,0
3785,7.66648,45.05296,0
3786,7.68851,45.09394,0
3787,7.65941,45.01891,0
3788,7.67571,45.07056,0
3789,7.67852,45.10193,0
3790,7.67363,45.09475,0
3791,7.66257,45.06555,0
3792,7.62126,45.03923,0
3793,7.68135,45.06488,0
